"","...1","date","locality","startTime","endTime","windowCount","window","plantID","plantSpecies","pollinatorSpecies","pollinatorID","inflorescencesVisited","Inflorescences total","notes","observers","year","month","day","treatment","beach","city","latitude","longitude","funcgroup","status","plantStatus","hoursperday","visitsperhr"
"1",1,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.13333333333333,0.882352941176471
"2",2,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.13333333333333,0.882352941176471
"3",3,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Campsomeris dorsata",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
"4",4,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Campsomeris dorsata",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
"5",5,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,3,NA,"Bidens alba","Campsomeris dorsata",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
"6",6,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,3,NA,"Bidens alba","Campsomeris dorsata",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
"7",7,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Panoquina panoquinoides panoquinoides",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.13333333333333,0.882352941176471
"8",8,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.13333333333333,0.882352941176471
"9",9,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",1.13333333333333,0.882352941176471
"10",10,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Stictia signata",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
