,pollinatorSpecies,funcgroup,status
1,Agraulis vanillae insularis,butterfly,native
2,Anartia jatrophae semifusca,butterfly,native
3,Ancistrocerus isla,wasp,native
4,Anthracothorax viridis,bird,native
5,Aphrissa statira cubana,butterfly,native
6,Apis mellifera,bee,non-native
7,Ascia monuste eubotea,butterfly,native
8,Atalopedes mesogramma apa,butterfly,native
9,Battus polydamas thyamus,butterfly,native
10,Bembix sp,wasp,native
11,Bombyliidae,fly,unknown
12,Campsomeris dorsata,wasp,native
13,Campsomeris ephippium,wasp,unknown
14,Campsomeris pilipes,wasp,unknown
15,Campsomeris sp,wasp,unknown
16,Campsomeris trifasciata,wasp,native
17,Centris decolorata,bee,native
18,Centris haemorrhoidalis,bee,native
19,Centris lanipes,bee,native
20,Cerambycidae,beetle,unknown
21,Ceratopogonidae,fly,unknown
22,Choranthus vitellius,butterfly,native
23,Chorantus borincona,butterfly,native
24,Chrysomelidae,beetle,unknown
25,Chrysomya rufifacies,fly,non-native
26,Cochliomyia macellaria,fly,native
27,Cyclargus ammon woodruffi,butterfly,native
28,Danaus plexippus portoricensis,butterfly,native
29,Dioprosopa clavata,fly,native
31,Diptera,fly,unknown
32,Eurema daira palmira,butterfly,native
33,Ganyra josephina krugii,butterfly,native
34,Glutophrissa drusilla boydi,butterfly,native
35,Hedriodiscus truqii,fly,native
36,Heliconius charitonia,butterfly,native
37,Hemiargus hanno watsoni,butterfly,native
38,Hemiptera,hemipteran,unknown
39,Hesperiidae,butterfly,unknown
40,Hylephila phyleus phyleus,butterfly,native
41,Hymenoptera,wasp,unknown
42,Junonia genoveva neildi,butterfly,native
43,Lepidoptera,butterfly,unknown
44,Microbembex monodonta,wasp,native
45,Miridae,hemipteran,unknown
46,Musca domestica,fly,non-native
47,Ocyptamus fuscipennis,fly,native
48,Palpada agrorum,fly,native
49,Palpada albifrons,fly,native
50,Palpada vinetorum,fly,native
51,Panoquina lucas woodruffi,butterfly,native
52,Panoquina ocola,butterfly,native
53,Panoquina panoquinoides panoquinoides,butterfly,native
54,Paratrechina longicornis,ant,native
55,Pepsis rubra,wasp,native
56,Philornis sp,fly,native
57,Phoebis agarithe antillia,butterfly,native
58,Phoebis sennae sennae,butterfly,native
59,Pieridae,butterfly,unknown
60,Prionyx thomae,wasp,native
61,Proctacanthus danforthi,fly,unknown
62,Pseudochrysops bornoi escobioi,butterfly,native
63,Riccordia maugeaus,bird,native
64,Scarabaeidae,beetle,unknown
65,Stictia signata,wasp,native
66,Syrphidae,fly,unknown
67,Tabanus sp,fly,unknown
68,Tachytes chrysopyga,fly,native
69,Tipulidae,fly,unknown
70,Urbanos proteus domingo,butterfly,native
71,Utetheisa ornatrix,moth,native
72,Villa lateralis,fly,native
73,Wallengrenia otho drury,butterfly,native
74,Xylocopa mordax,bee,native
